Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
26-07-2000,94.12801164,94.24809841,93.27739703,93.42750549,12062500,26,2,30,7,2000
27-07-2000,93.46752191,93.90784,92.66694357,93.10726166,7652600,27,3,30,7,2000
28-07-2000,93.32746912,93.44755593,90.63552303,91.00579071,6229500,28,4,30,7,2000
31-07-2000,91.54614509,92.30669461,90.98574018,91.58617401,5265500,31,0,31,7,2000
01-08-2000,91.98648309,92.68698938,91.66625165,92.14659882,3946600,1,1,31,8,2000
02-08-2000,92.14657051,93.12727902,91.98645484,92.60690308,7439800,2,2,31,8,2000
03-08-2000,91.50615478,93.38751492,91.34603903,93.24741364,4607100,3,3,31,8,2000
04-08-2000,93.70775091,93.96793902,93.12733126,93.74777985,3686600,4,4,31,8,2000
07-08-2000,93.96789478,95.06869014,93.74773571,94.86854553,4159800,7,0,32,8,2000
08-08-2000,94.46824089,95.30884811,94.46824089,95.22879028,3658700,8,1,32,8,2000
09-08-2000,95.51898758,95.56902372,94.38817086,94.42819977,5383800,9,2,32,8,2000
10-08-2000,94.48828684,94.69843872,93.68770826,93.96791077,4193400,10,3,32,8,2000
11-08-2000,93.90784165,94.78847785,93.22735004,94.40820313,5089400,11,4,32,8,2000
14-08-2000,94.64839846,95.78922288,94.1880658,95.60909271,2966700,14,0,33,8,2000
15-08-2000,95.64912426,95.94934122,95.14876266,95.52903748,5564600,15,1,33,8,2000
16-08-2000,95.62903859,96.02932757,94.68835947,95.1887207,5191600,16,2,33,8,2000
17-08-2000,95.22882744,96.34963751,95.00866832,96.18952179,5652200,17,3,33,8,2000
18-08-2000,96.30961147,96.30961147,95.56907622,95.86929321,4626400,18,4,33,8,2000
21-08-2000,96.0894239,96.52974203,95.6891347,96.38964081,2380600,21,0,34,8,2000
22-08-2000,96.42965966,96.91000665,96.12944278,96.22951508,3075300,22,1,34,8,2000
23-08-2000,95.94934019,96.89002,95.60909431,96.6098175,5483200,23,2,34,8,2000
24-08-2000,96.80996948,97.0301286,96.38966571,96.91004181,4529000,24,3,34,8,2000
25-08-2000,96.80992123,97.11013807,96.66982004,96.8699646,2822200,25,4,34,8,2000
28-08-2000,96.87001765,97.93078437,96.87001765,97.20025635,5518700,28,0,35,8,2000
29-08-2000,96.99007906,97.27028151,96.64983322,97.22024536,3561900,29,1,35,8,2000
30-08-2000,96.91002197,97.03010874,96.28957367,96.28957367,3964800,30,2,35,8,2000
31-08-2000,96.74989515,98.05083499,96.64982286,97.57048798,4863100,31,3,35,8,2000
01-09-2000,98.15090977,98.37106883,97.35033139,97.67056274,3191200,1,4,35,9,2000
05-09-2000,97.2702971,97.48044898,96.58980531,96.89002228,3470800,5,1,36,9,2000
06-09-2000,96.82994397,97.32029818,95.76917774,95.7891922,4322200,6,2,36,9,2000
07-09-2000,96.22954269,96.75992598,95.95934743,96.6098175,4265500,7,3,36,9,2000
08-09-2000,96.24955778,96.38965903,95.63911663,95.94934082,3518200,8,4,36,9,2000
11-09-2000,95.9092993,96.82996452,95.22880761,95.80922699,3937500,11,0,37,9,2000
12-09-2000,95.90930501,96.22953641,95.06869758,95.1087265,4769100,12,1,37,9,2000
13-09-2000,94.78849741,95.64911932,94.56833831,95.35890961,7691600,13,2,37,9,2000
14-09-2000,95.98934948,96.0293784,94.88855418,95.83924103,3397100,14,3,37,9,2000
15-09-2000,95.1470094,95.18713888,93.74247742,93.74247742,4085700,15,4,37,9,2000
18-09-2000,93.98328378,94.36451401,92.58878374,92.8797226,5109300,18,0,38,9,2000
19-09-2000,93.18067165,93.94313192,92.9097976,93.72241974,6588200,19,1,38,9,2000
20-09-2000,93.54187119,93.76258346,91.91662633,93.03022003,6508100,20,2,38,9,2000
21-09-2000,92.75932164,93.46158775,91.57550161,91.6156311,5972300,21,3,38,9,2000
22-09-2000,91.57550242,93.30107061,91.44508157,93.28100586,7791300,22,4,38,9,2000
25-09-2000,93.70238539,93.78264439,92.27778809,92.61888885,9726300,25,0,39,9,2000
26-09-2000,92.69912228,93.10041718,91.43504333,91.43504333,5302400,26,1,39,9,2000
27-09-2000,92.17742949,92.43827115,91.25445131,91.91658783,7186200,27,2,39,9,2000
28-09-2000,91.9366478,93.95315437,91.74603275,93.10040283,7036400,28,3,39,9,2000
29-09-2000,93.40138739,93.72242331,92.21756744,92.21756744,9333600,29,4,39,9,2000
02-10-2000,92.63893869,93.04023364,91.90657541,92.35803223,5517800,2,0,40,10,2000
03-10-2000,92.79946319,93.58198839,91.35480128,91.49525452,9347200,3,1,40,10,2000
04-10-2000,91.73603744,92.61888645,91.01370644,92.25772095,6148900,4,2,40,10,2000
05-10-2000,92.07710154,93.00007968,92.01690731,92.57872009,4566900,5,3,40,10,2000
06-10-2000,92.3780539,92.86963998,89.72950848,90.57222748,10014900,6,4,40,10,2000
